RPM,Thrust (Gram Force),Watts,C_T0,C_P0,C_Q0
34946.9167,348.573,225.1063,0.243973815,0.361996074,0.057613465
35460.9167,356.4484,232.1186,0.242305881,0.357275202,0.056862114
34197.5,329.4254,206.8546,0.240788404,0.354997189,0.056499557
34661.8333,338.4036,215.8654,0.240768196,0.355771582,0.056622806
34852.5833,341.0562,219.1298,0.24000661,0.355254286,0.056540476
33881.0833,322.7257,200.1817,0.240317932,0.353260692,0.056223185
32693.8333,304.1098,183.5408,0.243201321,0.360477277,0.057371741
33147,312.3549,189.7902,0.243011636,0.357671144,0.056925131
33554.75,315.7957,195.4127,0.239753745,0.355004263,0.056500683
31294.56,274.3762,159.2313,0.239483689,0.356586336,0.056752478
31572.76,279.9879,164.422,0.240094034,0.358562682,0.057067023
31947.8,285.7495,169.7869,0.239315467,0.357374955,0.056877991
32121.6,292.0882,174.7565,0.241984125,0.36189671,0.05759765
10100.84,25.0141,8.2245,0.209573854,0.547746783,0.087176608
10804.92,28.421,9.581,0.208095863,0.521301505,0.082967711
11404.48,32.3381,10.7958,0.212535131,0.499541038,0.079504426
12023.92,37.2427,12.4001,0.220199437,0.489586867,0.07792017
12561.32,41.0288,13.9201,0.222272359,0.482035832,0.076718385
13212.6,45.0183,15.4772,0.220434577,0.460543162,0.073297721
13809.52,50.7913,17.2113,0.227666622,0.448560193,0.071390572
14435.32,55.2867,19.2191,0.226795816,0.43852727,0.069793783
14944.8,59.9377,21.1812,0.229396645,0.435534983,0.069317545
15521.24,64.0702,23.2269,0.227337172,0.426338755,0.06785392
16030.88,68.7369,25.1093,0.228634844,0.418316815,0.066577189
16696.24,74.1095,27.2682,0.227249914,0.402108487,0.063997553
17134.72,78.658,29.3563,0.22901086,0.400509745,0.063743106
17645.8,84.1018,31.7508,0.230881847,0.396618913,0.063123861
18097.08,88.0487,34.1282,0.229812231,0.395212498,0.062900023
18570.64,93.2955,36.8601,0.231245961,0.395019652,0.06286933
19075.56,98.0075,39.6773,0.230235305,0.392331364,0.062441476
19596.8,103.7375,41.8431,0.23090464,0.38160247,0.060733919
20025.96,107.8645,44.9444,0.229910628,0.38409474,0.061130576
20645,114.2402,48.0876,0.229116509,0.375086339,0.059696845
21114.32,121.4186,50.9009,0.232808174,0.371139321,0.059068658
21672.32,128.3315,54.106,0.233555266,0.36481444,0.058062021
22055.16,135.1213,57.4107,0.237449135,0.367286537,0.058455468
22588.4,140.0878,60.4779,0.234691077,0.360149735,0.057319611
23072.6,146.6237,63.6365,0.235438945,0.35559814,0.056595202
23533.84,152.2901,67.4541,0.235046225,0.355199846,0.056531811
23782.6,157.5025,71.0794,0.238032354,0.362667438,0.057720315
24415.72,163.2082,74.956,0.234029231,0.353460267,0.056254949
24802.6,170.3686,79.0672,0.236734928,0.355670248,0.056606678
25055.64,176.2679,83.552,0.240010052,0.364571869,0.058023415
25562.92,182.0802,87.4546,0.238182035,0.359330499,0.057189225
26106.2,189.1117,91.55,0.23719104,0.353158913,0.056206987
26502.72,192.4598,95.1151,0.234221272,0.35068802,0.055813732
26920.8,199.4512,99.9054,0.235249079,0.351453509,0.055935563
27327.08,207.485,104.1075,0.237502098,0.35014275,0.05572695
27729.44,213.4516,109.1203,0.237292722,0.351257058,0.055904297
27989.52,219.9422,113.5424,0.239985425,0.355397627,0.056563289
28397.96,227.4288,118.9348,0.24106734,0.356443191,0.056729696
28914.76,231.945,123.1693,0.237144487,0.349692649,0.055655314
29315.12,239.5148,128.2393,0.238240836,0.349372659,0.055604386
29398.44,244.7729,132.7332,0.242092851,0.358549824,0.057064977
29966.92,251.8675,138.545,0.239748068,0.353351824,0.056237689
30336.76,256.7972,143.3239,0.238516866,0.352333417,0.056075605
30588.56,263.4015,148.7402,0.240639757,0.356692575,0.056769387
31003.52,267.6398,154.1685,0.238010376,0.355063017,0.056510034
